YST,PLOT,DBH,study,tree,clone,space,silvi,SIZE,density,year
8,1311,17.27200048,201301,34,B,L,1,0.0404282,24.73523327,2017
9,1311,19.05,201301,34,B,L,1,0.0404282,24.73523327,2018
7,1311,15.24,201301,39,B,L,1,0.0404282,24.73523327,2016
8,1311,17.52600024,201301,39,B,L,1,0.0404282,24.73523327,2017
9,1311,17.78,201301,39,B,L,1,0.0404282,24.73523327,2018
7,1311,18.28799952,201301,40,B,L,1,0.0404282,24.73523327,2016
8,1311,21.33599903,201301,40,B,L,1,0.0404282,24.73523327,2017
9,1311,23.36799952,201301,40,B,L,1,0.0404282,24.73523327,2018
7,1311,18.54200048,201301,41,B,L,1,0.0404282,24.73523327,2016
8,1311,21.08200048,201301,41,B,L,1,0.0404282,24.73523327,2017
9,1311,23.36799952,201301,41,B,L,1,0.0404282,24.73523327,2018
7,1311,21.08200048,201301,42,B,L,1,0.0404282,24.73523327,2016
8,1311,25.14599903,201301,42,B,L,1,0.0404282,24.73523327,2017
9,1311,27.17799952,201301,42,B,L,1,0.0404282,24.73523327,2018
7,1311,18.79600024,201301,43,B,L,1,0.0404282,24.73523327,2016
8,1311,21.84400097,201301,43,B,L,1,0.0404282,24.73523327,2017
9,1311,23.36799952,201301,43,B,L,1,0.0404282,24.73523327,2018
7,1311,20.57400097,201301,48,B,L,1,0.0404282,24.73523327,2016
8,1311,23.87599903,201301,48,B,L,1,0.0404282,24.73523327,2017
9,1311,25.65400097,201301,48,B,L,1,0.0404282,24.73523327,2018
7,1311,19.05,201301,49,B,L,1,0.0404282,24.73523327,2016
8,1311,21.84400097,201301,49,B,L,1,0.0404282,24.73523327,2017
9,1311,23.36799952,201301,49,B,L,1,0.0404282,24.73523327,2018
7,1311,23.11400097,201301,51,B,L,1,0.0404282,24.73523327,2016
8,1311,25.90799952,201301,51,B,L,1,0.0404282,24.73523327,2017
9,1311,27.94,201301,51,B,L,1,0.0404282,24.73523327,2018
7,1311,12.7,201301,52,B,L,1,0.0404282,24.73523327,2016
8,1311,15.49399976,201301,52,B,L,1,0.0404282,24.73523327,2017
9,1311,16.00200048,201301,52,B,L,1,0.0404282,24.73523327,2018
7,1331,16.00200048,201301,12,B,H,1,0.0134761,74.20569703,2016
8,1331,18.03399976,201301,12,B,H,1,0.0134761,74.20569703,2017
9,1331,19.30399976,201301,12,B,H,1,0.0134761,74.20569703,2018
7,1331,15.74799952,201301,13,B,H,1,0.0134761,74.20569703,2016
8,1331,17.01799952,201301,13,B,H,1,0.0134761,74.20569703,2017
9,1331,18.54200048,201301,13,B,H,1,0.0134761,74.20569703,2018
7,1331,14.73200048,201301,14,B,H,1,0.0134761,74.20569703,2016
8,1331,16.25600024,201301,14,B,H,1,0.0134761,74.20569703,2017
9,1331,17.52600024,201301,14,B,H,1,0.0134761,74.20569703,2018
7,1331,14.73200048,201301,15,B,H,1,0.0134761,74.20569703,2016
