System,Tree,Month,Diameter,r,Total Area,>40mm,20-40mm,0-20mm
1,LO14,Jun,19.8,8.4,221.6707776,60.82123377,67.85840132,92.99114255
1,LO14,Jul,20.1,8.55,229.658277,65.03882191,69.74335691,94.87609814
1,LO14,Aug,20.1,8.55,229.658277,65.03882191,69.74335691,94.87609814
1,LO14,Sep,20.3,8.65,235.0618163,67.92908715,70.99999397,96.1327352
1,LO14,Oct,21.25,9.125,261.5866758,82.51589454,76.96902001,102.1017612
1,LO14,Nov,20.6,8.8,243.2849351,72.38229474,72.88494956,98.01769079
1,LO14,Dec,20.7,8.85,246.0573906,73.89811319,73.51326809,98.64600932
1,LO15,Jan,18.6,7.8,191.134497,45.36459792,60.31857895,85.45132018
1,LO15,Feb,18.4,7.7,186.2650284,43.00840343,59.06194189,84.19468312
1,LO15,Mar,18.7,7.85,193.5927933,46.56625711,60.94689748,86.07963871
1,LO15,Apr,19.25,8.125,207.3942025,53.4561625,64.4026494,89.53539063
1,LO15,May,19.65,8.325,217.7300424,58.76545408,66.91592352,92.04866475
1,LO15,Jun,19.95,8.475,225.6468558,62.91235638,68.80087911,93.93362034
1,LO15,Jul,20.2,8.6,232.3521927,66.47610055,70.37167544,95.50441667
1,LO15,Aug,20.4,8.7,237.787148,69.39778172,71.6283125,96.76105373
1,LO15,Sep,20.5,8.75,240.5281875,70.88218425,72.25663103,97.38937226
1,LO15,Oct,21.9,9.45,280.5520779,93.31315579,81.05309046,106.1858317
1,LO15,Nov,20.7,8.85,246.0573906,73.89811319,73.51326809,98.64600932
1,LO15,Dec,20.6,8.8,243.2849351,72.38229474,72.88494956,98.01769079
1,LO16,Jan,17.5,7.25,165.1299639,33.1830724,53.40707511,78.53981634
1,LO16,Feb,17.5,7.25,165.1299639,33.1830724,53.40707511,78.53981634
1,LO16,Mar,17.65,7.325,168.5641173,34.73227028,54.34955291,79.48229414
1,LO16,Apr,18.25,7.625,182.6541604,41.28249096,58.11946409,83.25220532
1,LO16,May,18.7,7.85,193.5927933,46.56625711,60.94689748,86.07963871
1,LO16,Jun,19.05,8.025,202.3205304,50.89576448,63.14601234,88.27875357
1,LO16,Jul,19.45,8.225,212.5307065,56.07939236,65.65928646,90.79202769
1,LO16,Aug,19.8,8.4,221.6707776,60.82123377,67.85840132,92.99114255
1,LO16,Sep,19.9,8.45,224.3175694,62.21138852,68.48671985,93.61946108
1,LO16,Oct,18.9,7.95,198.5565097,49.01669938,62.20353454,87.33627577
1,LO16,Nov,20,8.5,226.9800692,63.61725124,69.11503838,94.24777961
1,LO16,Dec,19.9,8.45,224.3175694,62.21138852,68.48671985,93.61946108
1,LO17,Jan,16.7,6.85,147.4113813,25.51758633,48.38052687,73.51326809
1,LO17,Feb,16.7,6.85,147.4113813,25.51758633,48.38052687,73.51326809
1,LO17,Mar,16.75,6.875,148.4893403,25.96722678,48.69468613,73.82742736
1,LO17,Apr,17.4,7.2,162.8601632,32.16990877,52.77875658,77.91149781
1,LO17,May,17.8,7.4,172.0336137,36.31681108,55.2920307,80.42477193
1,LO17,Jun,18.1,7.55,179.0786352,39.59192142,57.1769863,82.30972752
1,LO17,Jul,18.35,7.675,185.0574788,42.42917228,58.74778262,83.88052385
1,LO17,Aug,18.4,7.7,186.2650284,43.00840343,59.06194189,84.19468312
1,LO17,Sep,18.5,7.75,188.6919088,44.17864669,59.69026042,84.82300165
1,LO17,Oct,19.65,8.325,217.7300424,58.76545408,66.91592352,92.04866475
1,LO17,Nov,18.8,7.9,196.0667975,47.78362426,61.57521601,86.70795724
1,LO17,Dec,18.6,7.8,191.134497,45.36459792,60.31857895,85.45132018
2,LC1,Jan,22.3,9.65,292.5529619,100.2874915,83.56636459,108.6991058
2,LC1,Feb,22.1,9.55,286.521104,96.76890771,82.30972752,107.4424688
2,LC1,Mar,22.35,9.675,294.0707438,101.1769549,83.88052385,109.0132651
